Name,Median price,Quarterly growth,12-month growth,Average Annual Growth,Weekly median advertised rent,Number of sales,Gross rental yield,Days on market
CUTTAGEE,,,,,,,,
DACEYVILLE,,,,,,,,
DAIRYMANS PLAINS,,,,,,,,
DALEYS POINT,"$1,152,700",4.79%,N/A,-2.21%,N/A,15,N/A,N/A
DALGETY,"$258,500",N/A,N/A,N/A,N/A,10,N/A,N/A
DALMENY,"$500,000",-3.85%,-1.96%,5.37%,$390,38,4.06%,95.4814814814815
DALTON,,,,,,,,
DALWOOD,,,,,,,,
DALWOOD,,,,,,,,
DANGAR,,,,,,,,
DANGAR ISLAND,"$677,500",0.00%,N/A,7.12%,N/A,10,N/A,N/A
DANGARSLEIGH,,,,,,,,
DAPTO,"$535,000",2.49%,-1.83%,5.95%,$450,144,4.37%,64.4757281553398
DARAWANK,"$725,000",1.26%,N/A,N/A,N/A,10,N/A,N/A
DARBYS FALLS,"$219,250",N/A,N/A,N/A,N/A,10,N/A,N/A
DARETON,"$122,500",-6.67%,28.95%,8.66%,N/A,10,N/A,N/A
DARGAN,,,,,,,,
DARK CORNER,,,,,,,,
DARKES FOREST,,,,,,,,
DARKWOOD,,,,,,,,
DARLING POINT,"$6,900,000",16.95%,N/A,4.26%,"$1,890",10,1.42%,N/A
DARLINGHURST,"$1,800,000",-3.74%,3.75%,7.28%,$850,60,2.46%,73.8461538461538
DARLINGTON,"$1,460,000",4.14%,13.62%,8.00%,$770,27,2.74%,N/A
DARLINGTON,"$400,000",10.34%,12.68%,9.32%,N/A,11,N/A,N/A
DARLINGTON POINT,"$134,000",-10.67%,-27.57%,4.14%,$250,12,9.70%,N/A
DARTBROOK,,,,,,,,
DARUKA,"$690,000",0.73%,N/A,8.64%,N/A,11,N/A,143
DAVIDSON,"$1,600,000",4.23%,4.34%,5.57%,$950,27,3.09%,39.8571428571429
DAVIS CREEK,,,,,,,,
DAVISTOWN,"$820,000",5.81%,5.43%,9.20%,$490,38,3.11%,98.875
DAWES POINT,"$1,412,500",N/A,N/A,N/A,N/A,10,N/A,N/A
DAYSDALE,,,,,,,,
DEAN PARK,"$630,000",0.00%,10.53%,7.07%,$365,37,3.01%,41.6190476190476
DEE WHY,"$1,850,000",0.00%,21.31%,8.65%,$795,59,2.23%,69.2105263157895
DEEP CREEK,,,,,,,,
DEEP CREEK,,,,,,,,
DEEP CREEK,,,,,,,,
DEEPWATER,"$155,000",N/A,N/A,3.14%,N/A,10,N/A,N/A
DEER VALE,,,,,,,,
DELEGATE,"$65,000",-22.58%,-5.88%,-3.90%,N/A,10,N/A,N/A
DELUNGRA,"$145,000",-1.64%,8.11%,23.43%,N/A,13,N/A,N/A
DENHAM COURT,"$670,000",2.68%,3.24%,-0.41%,$550,186,4.27%,86.8705882352941
DENHAMS BEACH,"$500,000",0.00%,-3.85%,6.43%,$455,11,4.73%,N/A
DENILIQUIN,"$227,500",1.11%,9.64%,1.99%,$270,143,6.17%,116.329545454545
DENISTONE,"$1,750,000",13.45%,18.24%,8.24%,$685,21,2.04%,N/A
DENISTONE EAST,"$1,620,000",8.18%,8.72%,7.50%,$750,17,2.41%,N/A
DENISTONE WEST,"$1,537,500",1.65%,N/A,13.09%,$550,10,1.86%,N/A
DENMAN,"$375,000",7.91%,7.14%,3.98%,$360,43,4.99%,141.206896551724
DERRIWONG,,,,,,,,
DEUA,,,,,,,,
DEUA RIVER VALLEY,,,,,,,,
DHARRUK,"$509,000",2.83%,-5.30%,6.94%,$340,30,3.47%,51.7894736842105
DIAMOND BEACH,"$482,500",4.89%,3.76%,4.88%,$395,22,4.26%,158.363636363636
DIGNAMS CREEK,,,,,,,,
DINOGA,,,,,,,,
DIRTY CREEK,,,,,,,,
DOBIES BIGHT,,,,,,,,
DOCTOR GEORGE MOUNTAIN,,,,,,,,
DOLANS BAY,"$1,500,000",N/A,N/A,N/A,N/A,10,N/A,N/A
DOLLS POINT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DOLPHIN POINT,"$630,000",-7.08%,N/A,N/A,N/A,13,N/A,N/A
DONALD CREEK,,,,,,,,
DONDINGALONG,"$365,000",0.00%,-20.65%,-12.73%,N/A,10,N/A,N/A
DOON DOON,,,,,,,,
DOONSIDE,"$646,750",2.66%,6.02%,7.73%,$380,110,3.06%,50.5901639344262
DOORALONG,"$1,042,500",5.57%,N/A,N/A,N/A,10,N/A,N/A
DORA CREEK,"$622,000",-0.64%,-0.32%,4.64%,$395,45,3.30%,73.2758620689655
DORRIGO,"$392,500",4.67%,15.17%,4.84%,$320,17,4.24%,149.2
DORRIGO MOUNTAIN,,,,,,,,
DORROUGHBY,,,,,,,,
DOUBLE BAY,"$4,400,000",3.08%,11.39%,8.28%,"$1,500",17,1.77%,N/A
DOUBTFUL CREEK,,,,,,,,
DOUGLAS PARK,"$812,000",-9.78%,-9.12%,7.13%,N/A,14,N/A,N/A
DOVER HEIGHTS,"$3,650,000",0.00%,-18.89%,3.85%,"$1,450",44,2.07%,54.65
DOWNSIDE,,,,,,,,
DOYALSON,"$482,500",7.68%,N/A,N/A,N/A,10,N/A,40.5
DOYALSON NORTH,,,,,,,,
DRAKE,"$154,000",-22.03%,-37.14%,-37.14%,N/A,11,N/A,N/A
DRAKE VILLAGE,,,,,,,,
DRIPSTONE,,,,,,,,
DRUMMOYNE,"$1,996,000",2.36%,12.13%,6.25%,$750,82,1.95%,80.5909090909091
DUBBO,"$370,000",1.37%,-1.33%,3.87%,$350,764,4.92%,83.6961451247166
DUBBO EAST,,,,,,,,
DUBBO GROVE,,,,,,,,
DUBBO WEST,,,,,,,,
DUCKENFIELD,,,,,,,,
DUCKMALOI,,,,,,,,
DUDLEY,"$802,500",-2.96%,-5.59%,6.12%,$478,35,3.09%,52.84
DUFFYS FOREST,"$3,660,000",N/A,N/A,N/A,N/A,10,N/A,N/A
DULGUIGAN,,,,,,,,
DULWICH HILL,"$1,607,000",5.03%,12.57%,8.48%,$700,72,2.27%,33.6470588235294
DUM DUM,,,,,,,,
DUMARESQ,,,,,,,,
DUNBIBLE,"$822,500",7.52%,N/A,N/A,N/A,10,N/A,N/A
DUNBOGAN,"$719,000",3.30%,27.26%,6.43%,$470,24,3.40%,132.153846153846
DUNDAS,"$1,200,000",4.35%,8.11%,9.21%,$568,47,2.46%,55.2631578947369
DUNDAS VALLEY,"$1,150,000",0.00%,3.37%,7.66%,$495,77,2.24%,55.046511627907
DUNDEE,,,,,,,,
DUNDURRABIN,,,,,,,,
DUNEDOO,"$167,500",-17.28%,-9.46%,-1.87%,N/A,16,N/A,N/A
DUNGAY,,,,,,,,
DUNGOG,"$340,000",-2.86%,-6.21%,4.21%,$325,39,4.97%,171.5
DUNGOWAN,,,,,,,,
DUNKELD,,,,,,,,
DUNMORE,,,,,,,,
DUNOLLY,,,,,,,,
DUNOON,"$510,000",-2.63%,-4.05%,11.02%,N/A,15,N/A,128.090909090909
DUNS CREEK,"$795,000",0.00%,N/A,N/A,N/A,10,N/A,N/A
DURAL,,,,,,,,
DURAL,"$1,497,500",-0.50%,6.13%,7.49%,$655,87,2.27%,64.4464285714286
DURAMANA,,,,,,,,
DURANBAH,,,,,,,,
DURI,"$325,000",-0.31%,-23.89%,-23.89%,N/A,10,N/A,N/A
DURRAS NORTH,,,,,,,,
DURREN DURREN,,,,,,,,
DUVAL,,,,,,,,
DYERS CROSSING,"$644,000",N/A,N/A,N/A,N/A,10,N/A,N/A
DYRAABA,,,,,,,,
DYRRING,,,,,,,,
EAGLE VALE,"$591,000",2.78%,5.54%,6.28%,$400,44,3.52%,25.6785714285714
EAGLETON,,,,,,,,
EARLWOOD,"$1,377,500",0.18%,13.37%,7.08%,$670,146,2.53%,66.7555555555556
EAST ALBURY,"$435,000",2.05%,3.57%,4.68%,$368,99,4.39%,63.3513513513514
EAST BALLINA,"$805,000",1.26%,10.27%,4.36%,$560,67,3.62%,76.6666666666667
EAST BOWRAL,"$595,000",3.48%,16.10%,2.86%,$500,11,4.37%,65.5
EAST BRANXTON,"$456,000",0.66%,2.47%,4.30%,$390,29,4.45%,74.6521739130435
EAST CORRIMAL,"$1,030,000",14.44%,28.75%,9.65%,$530,25,2.68%,80.7692307692308
EAST GOSFORD,"$696,000",-0.29%,-5.69%,6.90%,$465,41,3.47%,88.6666666666667
EAST GRESFORD,"$333,000",13.85%,14.83%,17.52%,N/A,11,N/A,184.66667
EAST HILLS,"$930,000",3.33%,10.85%,6.38%,$545,39,3.05%,61.5
EAST JINDABYNE,"$735,000",-13.43%,-7.84%,7.52%,N/A,12,N/A,N/A
EAST KEMPSEY,"$308,000",4.41%,-3.75%,2.61%,$280,27,4.73%,64.8260869565217
EAST KILLARA,"$2,450,000",2.40%,10.99%,7.75%,$955,34,2.03%,77.2
EAST KURRAJONG,"$1,200,000",2.35%,0.42%,6.23%,N/A,18,N/A,78.9375
EAST LINDFIELD,"$2,550,000",3.41%,13.33%,6.50%,"$1,070",41,2.18%,96.6
EAST LISMORE,"$403,500",1.64%,5.22%,2.58%,$380,77,4.90%,65.7142857142857
EAST LYNNE,,,,,,,,
EAST MAITLAND,"$490,000",-0.96%,-2.00%,4.14%,$393,207,4.17%,73.5695364238411
EAST RYDE,"$1,720,000",6.67%,14.67%,7.76%,N/A,22,N/A,N/A
EAST SEAHAM,"$563,000",N/A,N/A,N/A,N/A,10,N/A,N/A
EAST TAMWORTH,"$439,750",3.47%,-0.06%,3.76%,$358,78,4.23%,119.826923076923
EAST WAGGA WAGGA,"$275,000",N/A,N/A,N/A,N/A,10,N/A,N/A
EAST WARDELL,"$610,000",N/A,N/A,N/A,N/A,11,N/A,N/A
EASTERN CREEK,"$645,000",-3.01%,N/A,10.83%,$360,15,2.90%,N/A
EASTGARDENS,"$1,500,000",0.00%,0.00%,9.42%,$815,10,2.83%,N/A
EASTLAKES,"$1,432,000",2.29%,9.06%,6.86%,$690,22,2.51%,N/A
EASTWOOD,"$1,682,500",1.97%,4.50%,8.12%,$650,98,2.01%,64.40625
EATONSVILLE,,,,,,,,
EBENEZER,"$695,000",-7.33%,N/A,24.34%,$483,11,3.61%,N/A
EBOR,"$207,500",N/A,N/A,N/A,N/A,10,N/A,N/A
EDEN,"$442,500",1.72%,-2.75%,3.30%,$400,38,4.70%,98.5
EDEN CREEK,,,,,,,,
EDENSOR PARK,"$839,500",2.38%,6.06%,6.56%,$480,61,2.97%,84.6470588235294
EDGECLIFF,"$2,075,000",1.84%,N/A,-21.44%,$900,19,2.26%,N/A
EDGEROI,,,,,,,,
EDGEWORTH,"$450,875",1.89%,-1.98%,4.33%,$410,102,4.73%,45.1780821917808
EDITH,,,,,,,,
EDMONDSON PARK,"$810,000",2.53%,-3.57%,5.95%,$570,139,3.66%,92.0151515151515
EGLINTON,"$475,000",0.00%,0.26%,5.18%,$418,82,4.57%,91.984375
ELANDS,"$215,000",0.00%,-4.44%,11.55%,$230,10,5.56%,86.333336
ELANORA HEIGHTS,"$1,650,000",3.13%,10.33%,7.12%,$735,42,2.32%,80.65
ELDERSLIE,,,,,,,,
ELDERSLIE,"$675,000",1.96%,-5.10%,5.03%,$490,137,3.77%,56.69
ELEEBANA,"$795,000",2.58%,-1.43%,4.97%,$500,96,3.27%,70.2033898305085
ELERMORE VALE,"$570,000",4.01%,-3.39%,4.20%,$440,78,4.01%,35.8870967741936
ELIZABETH BAY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELIZABETH BEACH,"$695,000",6.06%,N/A,N/A,N/A,10,N/A,N/A
ELLALONG,"$461,500",0.76%,-9.68%,5.77%,$355,28,4.00%,123.933333333333
ELLAND,,,,,,,,
ELLANGOWAN,"$360,000",N/A,N/A,N/A,N/A,10,N/A,N/A
ELLENBOROUGH,,,,,,,,
ELLERSTON,,,,,,,,
ELLIS LANE,"$1,310,000",-4.64%,-7.93%,9.17%,N/A,12,N/A,N/A
ELONG ELONG,,,,,,,,
ELRINGTON,,,,,,,,
ELSMORE,,,,,,,,
ELTHAM,,,,,,,,
ELVINA BAY,,,,,,,,
EMERALD BEACH,"$657,500",3.95%,6.91%,5.07%,$463,49,3.66%,122.052631578947
EMERALD HILL,,,,,,,,
EMERTON,"$480,000",1.59%,6.08%,7.96%,$315,26,3.41%,65.1428571428571
EMMAVILLE,"$149,000",16.86%,38.60%,13.84%,N/A,10,N/A,N/A
EMPIRE BAY,"$767,500",-0.32%,-0.32%,7.76%,$480,30,3.25%,103.4375
EMPIRE VALE,,,,,,,,
EMU HEIGHTS,"$700,000",0.43%,1.45%,6.08%,$460,29,3.42%,35.7272727272727
EMU PLAINS,"$722,500",0.35%,8.65%,6.64%,$460,104,3.31%,38.5797101449275
EMU SWAMP,,,,,,,,
ENFIELD,"$1,320,000",0.00%,-5.88%,6.35%,$580,19,2.28%,N/A
ENFIELD SOUTH,,,,,,,,
ENGADINE,"$962,500",4.62%,10.00%,5.88%,$620,168,3.35%,28.5238095238095
ENGLORIE PARK,"$509,000",N/A,N/A,N/A,$415,10,4.24%,26.909090909
ENMORE,"$1,398,500",1.71%,9.64%,7.75%,$790,43,2.94%,44.1333333333333
ENMORE,,,,,,,,
ENNGONIA,,,,,,,,
EPPING,"$1,760,000",3.53%,21.21%,8.18%,$650,175,1.92%,72.8108108108108
ERARING,"$1,057,500",N/A,N/A,N/A,N/A,11,N/A,N/A
ERIGOLIA,,,,,,,,
ERINA,"$823,750",0.15%,-4.22%,6.64%,$520,50,3.28%,68.5652173913044
ERINA FAIR,,,,,,,,
ERINA HEIGHTS,"$1,085,000",N/A,N/A,N/A,N/A,10,N/A,N/A
ERMINGTON,"$1,223,500",3.82%,6.39%,7.91%,$520,112,2.21%,70.05
EROWAL BAY,"$577,500",0.00%,-15.07%,7.49%,$370,14,3.33%,83.3
ERROWANBANG,,,,,,,,
ERSKINE PARK,"$730,000",0.27%,1.11%,6.25%,$393,59,2.80%,25.3137254901961
ERSKINEVILLE,"$1,525,000",1.50%,22.49%,8.49%,$730,61,2.49%,43.4117647058824
ESCHOL PARK,"$580,000",2.65%,1.31%,7.05%,$410,34,3.68%,31.625
ESTELLA,"$357,500",-0.35%,-5.30%,1.88%,$380,47,5.53%,90.3636363636364
ETTALONG BEACH,"$740,000",1.51%,1.02%,8.44%,$385,48,2.71%,70.3529411764706
ETTRICK,,,,,,,,
EUABALONG,,,,,,,,
EUBERTA,,,,,,,,
EUCHAREENA,,,,,,,,
EUCUMBENE,"$5,000",N/A,N/A,N/A,N/A,25,N/A,N/A
EUGOWRA,"$255,000",2.00%,6.25%,8.64%,N/A,20,N/A,N/A
EUMUNGERIE,,,,,,,,
EUNANOREENYA,,,,,,,,
EUNGAI CREEK,"$346,000",N/A,N/A,N/A,N/A,11,N/A,N/A
EUNGAI RAIL,"$255,000",N/A,N/A,N/A,N/A,10,N/A,N/A
EUNGELLA,,,,,,,,
EUREKA,,,,,,,,
EUROBODALLA,,,,,,,,
EUROKA,"$610,000",N/A,N/A,N/A,N/A,11,N/A,N/A
EURUNDEREE,,,,,,,,
EUSTON,"$165,000",-3.51%,-8.33%,9.90%,N/A,11,N/A,N/A
EVANS HEAD,"$662,500",0.76%,-0.38%,3.97%,$478,28,3.75%,N/A
EVANS PLAINS,,,,,,,,
EVELEIGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EVIRON,,,,,,,,
EWINGAR,,,,,,,,
EWINGSDALE,"$1,560,000",4.87%,-8.24%,10.19%,$800,13,2.67%,N/A
EXETER,"$1,300,000",0.00%,14.79%,8.17%,N/A,28,N/A,160.681818181818
FAILFORD,"$713,000",0.00%,9.69%,5.42%,N/A,15,N/A,N/A
FAIRFIELD,"$720,000",2.13%,2.13%,6.74%,$440,74,3.18%,61.2
FAIRFIELD EAST,"$689,000",-0.14%,-3.43%,6.66%,$430,28,3.25%,57.1
FAIRFIELD HEIGHTS,"$785,000",0.96%,10.46%,7.89%,$510,62,3.38%,65.952380952381
FAIRFIELD WEST,"$729,500",3.04%,5.72%,7.32%,$470,92,3.35%,60.8974358974359
FAIRLIGHT,"$2,390,000",3.69%,8.64%,7.34%,"$1,213",53,2.64%,81.2727272727273
FAIRY HILL,"$480,000",5.56%,6.86%,6.86%,N/A,11,N/A,N/A
FAIRY MEADOW,"$760,000",0.33%,-0.98%,6.75%,$525,46,3.59%,56
FALLS CREEK,"$830,000",-1.19%,N/A,6.86%,N/A,18,N/A,N/A
FAR MEADOW,"$1,385,000",11.84%,N/A,N/A,N/A,10,N/A,N/A
FARLEY,"$180,000",0.56%,-7.69%,-7.69%,N/A,27,N/A,N/A
FARMBOROUGH HEIGHTS,"$650,000",0.00%,-2.26%,5.31%,$495,59,3.96%,72.7560975609756
FARNHAM,,,,,,,,
FARRANTS HILL,,,,,,,,
FASSIFERN,"$455,000",N/A,-10.34%,9.67%,N/A,10,N/A,N/A
FAULCONBRIDGE,"$627,000",-2.03%,-2.03%,5.95%,$430,71,3.57%,45.1086956521739
FAULKLAND,,,,,,,,
FEDERAL,"$1,160,000",5.45%,13.17%,13.87%,N/A,11,N/A,N/A
FENNELL BAY,"$520,000",0.00%,9.47%,5.20%,$410,25,4.10%,57.3333333333333
FERN BAY,"$690,500",2.91%,10.48%,8.07%,$510,53,3.84%,78.1764705882353
FERNBANK CREEK,,,,,,,,
FERNBROOK,,,,,,,,
FERNHILL,"$675,000",-2.17%,N/A,3.02%,N/A,15,N/A,N/A
FERNLEIGH,"$1,027,500",N/A,N/A,N/A,N/A,10,N/A,N/A
FERNMOUNT,"$755,000",N/A,N/A,27.71%,N/A,12,N/A,N/A
FERNVALE,"$581,500",N/A,N/A,N/A,N/A,10,N/A,N/A
FIDDLETOWN,,,,,,,,
FIFIELD,,,,,,,,
FIGTREE,"$730,000",-0.95%,-0.68%,5.97%,$500,150,3.56%,46.2405063291139
FINGAL BAY,"$717,500",2.50%,-8.01%,4.66%,$430,36,3.12%,104.04347826087
FINGAL HEAD,"$1,162,500",-10.06%,N/A,1.12%,N/A,10,N/A,N/A
FINLEY,"$125,000",-3.85%,-18.30%,0.89%,N/A,50,N/A,90.7586206896552
FIREFLY,"$595,000",N/A,N/A,N/A,N/A,10,N/A,N/A
FISHERMANS BAY,,,,,,,,
FISHERMANS PARADISE,"$385,000",-1.91%,-18.52%,6.73%,N/A,11,N/A,N/A
FISHERMANS REACH,,,,,,,,
FISHING POINT,"$750,000",4.90%,2.74%,6.55%,$440,25,3.05%,84
FITZROY FALLS,"$862,500",N/A,N/A,N/A,N/A,10,N/A,N/A
FIVE DOCK,"$1,700,000",0.83%,6.92%,8.07%,$755,75,2.31%,117.193548387097
FLETCHER,"$580,000",1.58%,-6.45%,3.27%,$523,147,4.68%,80.4653465346535
FLINDERS,"$713,500",2.66%,-2.26%,5.24%,$550,96,4.01%,65.1875
FLORAVILLE,"$710,000",7.58%,21.37%,5.36%,$550,24,4.03%,67.3809523809524
FLYNNS BEACH,,,,,,,,
FORBES,"$261,500",-1.32%,2.55%,4.66%,$280,172,5.57%,96.2197802197802
FORBESDALE,,,,,,,,
FORDS BRIDGE,,,,,,,,
FOREST HILL,"$297,000",-0.17%,-16.34%,1.90%,$318,55,5.56%,97.7560975609756
FOREST LODGE,"$1,531,000",-9.94%,-4.61%,7.39%,$900,18,3.06%,N/A
FOREST REEFS,"$779,500",2.57%,N/A,N/A,N/A,10,N/A,N/A
FORESTVILLE,"$1,660,000",9.03%,14.48%,7.36%,$850,89,2.66%,48.6451612903226
FORRESTERS BEACH,"$950,000",0.00%,5.69%,6.99%,$510,68,2.79%,119.290322580645
FORSTER,"$565,000",2.26%,6.60%,4.76%,$430,230,3.96%,102.783950617284
FORSTER SHOPPING VILLAGE,,,,,,,,
FOSTERTON,,,,,,,,
FOUNTAINDALE,"$1,265,000",-4.35%,N/A,1.90%,N/A,11,N/A,132.2
FOUR MILE CREEK,,,,,,,,
FOXGROUND,,,,,,,,
FRAZERS CREEK,"$639,000",N/A,N/A,N/A,N/A,10,N/A,N/A
FREDERICKTON,"$327,500",2.42%,11.02%,6.08%,N/A,27,N/A,107.454545454545
FREEMANS REACH,"$818,500",-1.39%,-6.72%,8.49%,$470,16,2.99%,N/A
FREEMANS WATERHOLE,,,,,,,,
FREEMANTLE,,,,,,,,
FRENCH PARK,,,,,,,,
FRENCHS FOREST,"$1,590,000",3.25%,15.22%,7.04%,$875,173,2.86%,46.3770491803279
FRESHWATER,"$2,450,500",0.02%,5.28%,6.90%,"$1,350",69,2.86%,59.1578947368421
FROGMORE,,,,,,,,
FULLERTON,,,,,,,,
FULLERTON COVE,"$760,000",0.00%,8.96%,6.78%,N/A,10,N/A,N/A
FURRACABAD,,,,,,,,
GALONG,"$180,000",N/A,N/A,N/A,N/A,10,N/A,N/A
GALSTON,"$1,268,125",0.47%,3.94%,7.64%,$650,46,2.67%,53.0384615384616
GANMAIN,"$100,000",-28.57%,-29.82%,-0.98%,N/A,13,N/A,N/A
GARAH,,,,,,,,
GARDEN SUBURB,"$735,000",0.00%,6.52%,4.77%,$458,16,3.24%,70.5833333333333
GAREMA,,,,,,,,
GARLAND,,,,,,,,
GARRA,,,,,,,,
GARTHOWEN,,,,,,,,
GATESHEAD,"$440,000",4.76%,0.23%,5.42%,$380,37,4.49%,55.1034482758621
GELSTON PARK,,,,,,,,
GEMALLA,,,,,,,,
GENEVA,"$349,000",2.65%,1.09%,9.76%,N/A,13,N/A,N/A
GEORGES HALL,"$895,000",5.92%,7.80%,6.34%,$550,89,3.20%,81.15625
GEORGES PLAINS,,,,,,,,
GEORGETOWN,"$590,000",4.42%,-0.84%,5.29%,$450,48,3.97%,38.6785714285714
GEORGICA,"$450,750",N/A,N/A,N/A,N/A,10,N/A,N/A
GEROGERY,"$400,000",-17.53%,N/A,N/A,N/A,10,N/A,N/A
GERRINGONG,"$875,000",4.17%,-4.89%,6.40%,$555,54,3.30%,96.7428571428572
GERROA,"$1,125,000",-6.25%,-10.79%,4.98%,N/A,18,N/A,N/A
GEURIE,,,,,,,,
GIANTS CREEK,,,,,,,,
GIBBERAGEE,,,,,,,,
GIDGINBUNG,,,,,,,,
GILEAD,,,,,,,,
GILGAI,"$222,500",0.00%,6.24%,1.81%,N/A,12,N/A,N/A
GILGANDRA,"$171,500",22.06%,7.86%,3.47%,$260,35,7.88%,138.411764705882
GILLIESTON HEIGHTS,"$462,500",-1.07%,-5.03%,2.61%,$430,112,4.83%,63.1369863013699
GILMORE,,,,,,,,
GINGKIN,,,,,,,,
GIRARDS HILL,"$445,000",2.65%,5.70%,3.39%,$430,21,5.02%,69.3846153846154
GIRILAMBONE,,,,,,,,
GIRRAL,,,,,,,,
GIRRALONG,,,,,,,,
GIRRAWEEN,"$859,000",2.26%,8.05%,6.85%,$480,42,2.91%,42.5
GIRVAN,"$312,500",-10.71%,N/A,N/A,N/A,10,N/A,N/A
GLADESVILLE,"$1,860,000",6.90%,8.71%,7.56%,$700,88,1.96%,58.9310344827586
GLADSTONE,"$355,000",N/A,N/A,N/A,N/A,10,N/A,N/A
GLANMIRE,,,,,,,,
GLEBE,"$1,717,000",5.66%,10.77%,6.02%,$850,74,2.57%,45.8636363636364
GLEN ALPINE,"$863,000",4.61%,2.74%,5.48%,$580,33,3.49%,78.7391304347826
GLEN AYR,,,,,,,,
GLEN DAVIS,,,,,,,,
GLEN INNES,"$195,000",-1.27%,-7.14%,1.53%,$250,111,6.67%,118.212121212121
GLEN MARTIN,,,,,,,,
GLEN OAK,"$576,500",N/A,N/A,N/A,N/A,10,N/A,N/A
GLEN WILLIAM,,,,,,,,
GLENBROOK,"$960,000",3.59%,13.34%,7.09%,$560,71,3.03%,50
GLENCOE,,,,,,,,
GLENDALE,"$489,250",-0.36%,0.88%,4.95%,$375,52,3.99%,49.3409090909091
GLENDENNING,"$648,750",0.12%,1.37%,6.77%,$420,62,3.37%,41.8947368421053
GLENDON BROOK,"$580,000",N/A,N/A,N/A,N/A,10,N/A,N/A
GLENFIELD,"$712,500",4.78%,5.56%,6.80%,$475,56,3.47%,46.1944444444444
GLENFIELD PARK,"$320,000",0.00%,-0.78%,0.40%,$340,93,5.53%,82.9242424242424
GLENHAVEN,"$1,620,000",1.25%,8.00%,7.29%,$750,79,2.41%,67.0816326530612
GLENIFFER,"$805,000",0.00%,N/A,N/A,N/A,10,N/A,N/A
GLENMORE PARK,"$737,694",2.46%,1.05%,5.49%,$490,314,3.45%,36.8054298642534
GLENNING VALLEY,"$677,500",1.88%,-2.52%,5.44%,$440,32,3.38%,72.6086956521739
GLENORIE,"$1,255,000",0.20%,-13.45%,5.86%,$565,37,2.34%,70.3913043478261
GLENQUARIE,,,,,,,,
GLENREAGH,"$323,250",0.00%,-16.47%,5.02%,N/A,10,N/A,N/A
GLENRIDDING,"$282,500",N/A,N/A,N/A,N/A,10,N/A,N/A
GLENROY,,,,,,,,
GLENROY,"$396,000",10.00%,13.79%,2.69%,$363,52,4.76%,94.5185185185185
GLENTHORNE,"$444,750",-18.99%,N/A,N/A,N/A,10,N/A,N/A
GLENUGIE,"$336,000",N/A,N/A,N/A,N/A,10,N/A,N/A
GLENWOOD,"$1,026,000",3.12%,6.88%,7.08%,$600,163,3.04%,32.64
GLOSSODIA,"$615,000",-1.60%,-4.80%,5.67%,$440,47,3.72%,106.793103448276
GLOUCESTER,"$330,000",3.13%,11.68%,3.15%,$345,78,5.44%,105.790697674419
GOBBAGOMBALIN,"$478,000",1.70%,4.48%,4.36%,$420,79,4.57%,110.210526315789
GODFREYS CREEK,,,,,,,,
GOL GOL,"$455,000",12.36%,44.44%,6.70%,$360,40,4.11%,90.8333333333333
GOLLAN,,,,,,,,
GOLSPIE,,,,,,,,
GOODNIGHT,,,,,,,,
GOODOOGA,,,,,,,,
GOOGONG,"$675,000",0.75%,3.93%,-0.89%,$655,231,5.05%,98.6854838709677
GOOLGOWI,"$120,000",0.00%,N/A,N/A,N/A,11,N/A,N/A
GOOLMA,,,,,,,,
GOOLMANGAR,,,,,,,,
GOOLOOGONG,"$191,500",-12.95%,-16.01%,5.21%,N/A,10,N/A,N/A
GOONELLABAH,"$401,000",-4.52%,-6.74%,2.07%,$400,214,5.19%,78.8157894736842
GOONENGERRY,"$400,000",N/A,N/A,N/A,N/A,10,N/A,N/A
GOONUMBLA,,,,,,,,
GORDON,"$2,330,000",0.71%,0.22%,6.05%,$963,58,2.15%,53.25
GORMANS HILL,"$360,000",4.35%,N/A,-7.19%,$300,10,4.33%,N/A
GOROKAN,"$460,000",1.10%,-2.13%,6.20%,$350,145,3.96%,56.0107526881721
GOSFORD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GOULBURN,"$420,000",-0.94%,3.45%,5.88%,$360,414,4.46%,95.4721189591078
GOULBURN NORTH,,,,,,,,
GOWRIE,"$657,500",5.20%,N/A,N/A,N/A,10,N/A,N/A
GOWRIE,,,,,,,,
GRABBEN GULLEN,"$284,000",N/A,N/A,N/A,N/A,10,N/A,N/A
GRAFTON,"$324,000",-1.82%,-1.82%,2.34%,$360,188,5.78%,84.7567567567568
GRAFTON WEST,,,,,,,,
GRAHAMSTOWN,,,,,,,,
GRAMAN,,,,,,,,
GRANVILLE,"$720,000",-2.17%,-1.37%,6.86%,$460,42,3.32%,33.2
GRASMERE,"$1,650,000",4.10%,8.91%,8.61%,N/A,21,N/A,70.2666666666667
GRATTAI,"$378,750",0.20%,17.44%,17.44%,N/A,10,N/A,N/A
GRAVESEND,,,,,,,,
GRAYS POINT,"$1,230,000",3.36%,-4.65%,5.41%,$750,34,3.17%,50.3888888888889
GREAT MARLOW,,,,,,,,
GREEN HILLS,,,,,,,,
GREEN HILLS,,,,,,,,
GREEN HILLS,,,,,,,,
GREEN PIGEON,"$362,500",N/A,N/A,N/A,N/A,10,N/A,N/A
